id,name,titles
4,General and operations managers,"Founder & CEO,CEO,President"
5,Legislators,
6,Advertising and promotions managers,
7,Marketing and sales managers,"Marketing Intern,Growth & Product Marketing Intern,Search Marketing Analyst,Marketing and BD Intern,Marketing Special Promotions and Brand Ambassador,Sales Operations and Marketing Associate,Director of Marketing,Sales Executive,Marketing & eCommerce Intern,Marketing Associate,Account Executive,Social Media and Community Development Associate,Sales Account Coordinator,Summer Marketing Analyst,Social Media Intern,Brand Program Coordinator,Brand Strategy Intern"
8,Public relations and fundraising managers,Administrative/Donor Relations Intern
9,Administrative services managers,
10,Computer and information systems managers,"Systems Integration and Technology Analyst Intern,CTO,VP Engineering for Product Intelligence,VP of Programming"
11,Financial managers,"Wealth Management Intern,Spring Securities Intern,BU Finance Analyst,Capital Group Director,Asset Management Summer Analyst"
12,Compensation and benefits managers,
13,Human resources managers,
14,Training and development managers,
15,Industrial production managers,
16,Purchasing managers,
17,"Transportation, storage, and distribution managers",
18,"Farmers, ranchers, and other agricultural managers",
19,Construction managers,
20,Education administrators,"Vice Provost of Undergraduate Education Intern,Registration Committee"
21,Architectural and engineering managers,
22,Food service managers,
23,Funeral service managers,
24,Gaming managers,
25,Lodging managers,
26,Medical and health services managers,
27,Natural sciences managers,
28,Postmasters and mail superintendents,
29,"Property, real estate, and community association managers",
30,Social and community service managers,Intern at the Maya Angelou Center for Health Equity
31,Emergency management directors,
32,"Managers, all other",
33,"Agents and business managers of artists, performers, and athletes",
34,"Buyers and purchasing agents, farm products",
35,"Wholesale and retail buyers, except farm products",
36,"Purchasing agents, except wholesale, retail, and farm products",
37,"Claims adjusters, appraisers, examiners, and investigators",
38,Compliance officers,
39,Cost estimators,
40,Human resources workers,
41,"Compensation, benefits, and job analysis specialists",
42,Training and development specialists,
43,Logisticians,
44,Management analysts,
45,"Meeting, convention, and event planners",Volunteer Event Organizer
46,Fundraisers,Administrative/Donor Relations Intern
47,Market research analysts and marketing specialists,"Marketing Intern,Growth & Product Marketing Intern,Search Marketing Analyst,Marketing and BD Intern,Marketing Special Promotions and Brand Ambassador,Sales Operations and Marketing Associate,Marketing & eCommerce Intern,Social Media and Community Development Associate,Summer Marketing Analyst,Social Media Intern,Brand Program Coordinator,Brand Strategy Intern"
48,"Business operations specialists, all other",
49,Accountants and auditors,"Treasurer,Private Client Services Audit Intern,Financial Services Audit and Forensic Litigation Intern"
50,Appraisers and assessors of real estate,
51,Budget analysts,
52,Credit analysts,
53,Financial analysts,"Wealth Management Intern,Spring Securities Intern,BU Finance Analyst,Asset Management Summer Analyst"
54,Personal financial advisors,Financial Representative
55,Insurance underwriters,
56,Financial examiners,
57,Credit counselors and loan officers,
58,"Tax examiners and collectors, and revenue agents",
59,Tax preparers,
60,"Financial specialists, all other",Financial Representative
61,Computer and information research scientists,
62,Computer systems analysts,Software Engineer on Corporate IT team
63,Information security analysts,
64,Computer programmers,
65,"Software developers, applications and systems software","Software Engineering Intern,Software Development Intern"
66,Web developers,"Advanced Technologies Lab Web Designer Intern,Web Development Intern,UI/UX Intern"
67,Computer support specialists,
68,Database administrators,
69,Network and computer systems administrators,Software Engineer on Corporate IT team
70,Computer network architects ,
71,"Computer occupations, all other",
72,Actuaries,
73,Mathematicians,
74,Operations research analysts,Manufacturing Sciences & Technology Intern
75,Statisticians,
76,Miscellaneous mathematical science occupations,
77,"Architects, except naval",
78,"Surveyors, cartographers, and photogrammetrists",
79,Aerospace engineers,Project Engineer Intern
80,Agricultural engineers,Project Engineer Intern
81,Biomedical engineers,Project Engineer Intern
82,Chemical engineers,Project Engineer Intern
83,Civil engineers,Project Engineer Intern
84,Computer hardware engineers,Project Engineer Intern
85,Electrical and electronics engineers,Project Engineer Intern
86,Environmental engineers,Project Engineer Intern
87,"Industrial engineers, including health and safety",Project Engineer Intern
88,Marine engineers and naval architects,Project Engineer Intern
89,Materials engineers,Project Engineer Intern
90,Mechanical engineers,Turbine Design Engineer
91,"Mining and geological engineers, including mining safety engineers",Project Engineer Intern
92,Nuclear engineers,Project Engineer Intern
93,Petroleum engineers,Project Engineer Intern
94,"Engineers, all other",Project Engineer Intern
95,Drafters,
96,"Engineering technicians, except drafters",
97,Surveying and mapping technicians,
98,Agricultural and food scientists,
99,Biological scientists
100,Conservation scientists and foresters
101,Medical scientists
102,"Life scientists, all other"
103,Astronomers and physicists
104,Atmospheric and space scientists
105,Chemists and materials scientists
106,Environmental scientists and geoscientists
107,"Physical scientists, all other"
108,Economists
109,Survey researchers
110,Psychologists
111,Sociologists
112,Urban and regional planners
